diam,scatter
0.1,0.091924
0.2,4.541492
0.3,37.051826
0.4,144.905084
0.5,370.390693
0.6,724.720866
0.7,1169.34342
0.8,1600.991553
0.9,1906.433397
1,2016.699175
1.1,1968.582327
1.2,1934.807565
1.3,2177.488751
1.4,3005.049339
1.5,4614.962938
1.6,7002.296735
1.7,9923.993862
1.8,12893.027221
1.9,15390.388248
2,16962.49155
2.1,17416.639171
2.2,16993.36251
2.3,16220.189373
2.4,15865.388589
2.5,16654.78178
2.6,19002.488333
2.7,22882.816187
2.8,27673.861684
2.9,32487.543193
3,36345.435296
3.1,38466.122855
3.2,38727.447076
3.3,37558.225335
3.4,35972.81073
3.5,35274.962676
3.6,36567.657133
3.7,40501.840556
3.8,46833.507831
3.9,54620.173736
4,62416.226155
4.1,68591.915458
4.2,72101.440968
4.3,72540.397801
4.4,70401.613568
4.5,67035.374252
4.6,64039.549213
4.7,62974.460252
4.8,64695.567383
4.9,69163.259585
5,75479.679833
5.1,82000.905006
5.2,87190.020444
5.3,89844.023692
5.4,89508.417151
5.5,86839.430891
5.6,83101.145869
5.7,79985.845302
5.8,79011.058397
5.9,80999.254961
6,85902.780547
6.1,92640.749739
6.2,99716.981413
6.3,105484.917756
6.4,108604.302566
6.5,108707.50721
6.6,106136.732561
6.7,101947.582146
6.8,97625.643464
6.9,94466.073293
7,93300.120819
7.1,94190.49218
7.2,96627.848407
7.3,99643.894489
7.4,102101.075842
7.5,103328.91191
7.6,103042.641303
7.7,101432.655905
7.8,99219.302674
7.9,97175.166461
8,95906.99016
8.1,95743.506313
8.2,96684.51626
8.3,98395.921117
8.4,100394.249003
8.5,102360.062319
8.6,104060.141682
8.7,105379.152435
8.8,106448.440278
8.9,107343.050054
9,107908.470534
9.1,107987.722902
9.2,107404.628636
9.3,105959.69863
9.4,103812.71753
9.5,101492.956598
9.6,99685.286507
9.7,99120.845957
9.8,100390.766202
9.9,103640.20178
10,108277.497392
